Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Cleveland Cavaliers*,32.6,70.6,.462,6.3,16.1,.388,26.4,54.5,.484,17.1,22.5,.759,10.7,26.4,37.1,22.2,6.1,4.1,15.6,20.3,88.5
Chicago Bulls*,35.1,78.4,.448,5.3,15.2,.350,29.8,63.2,.472,17.4,24.2,.717,12.0,26.0,38.0,19.4,7.3,3.8,17.1,22.6,92.9
Detroit Pistons*,34.5,77.7,.443,6.2,16.8,.366,28.3,60.9,.465,17.8,24.9,.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23.0,92.9
New York Knicks*,34.9,78.9,.442,5.4,16.0,.337,29.5,62.9,.468,19.8,26.7,.740,12.1,29.6,41.7,20.4,8.0,3.4,15.8,21.5,94.9
Miami Heat*,33.3,76.9,.434,5.4,15.1,.361,27.9,61.8,.452,22.9,30.5,.752,12.0,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95.0
Utah Jazz*,33.5,75.3,.445,6.7,17.4,.385,26.8,57.9,.463,22.2,29.5,.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9
Indiana Pacers*,34.6,76.7,.452,6.0,16.7,.360,28.6,60.0,.477,20.8,28.1,.740,12.2,25.0,37.3,21.0,8.1,5.1,15.4,24.9,96.1
Seattle SuperSonics*,35.0,79.9,.438,6.5,18.7,.348,28.5,61.2,.466,20.2,28.2,.716,13.1,27.5,40.6,21.7,9.2,4.8,18.5,24.5,96.7
Portland Trail Blazers*,36.0,81.4,.442,5.8,16.5,.348,30.3,64.9,.466,19.2,25.9,.740,11.4,28.2,39.6,22.2,8.6,5.0,14.5,24.3,97.0
Atlanta Hawks*,37.1,78.3,.474,5.8,16.2,.360,31.3,62.1,.504,17.0,22.7,.746,12.9,28.0,40.8,22.5,7.1,4.1,17.1,22.0,97.1
San Antonio Spurs*,36.8,83.7,.439,5.4,16.3,.330,31.4,67.4,.466,18.1,24.8,.730,13.5,30.2,43.7,22.5,7.4,5.2,15.3,24.0,97.1
Los Angeles Lakers*,38.0,83.0,.458,5.4,14.7,.367,32.6,68.3,.478,17.0,23.1,.738,14.0,28.2,42.2,24.5,7.2,5.9,16.3,22.0,98.5
Orlando Magic*,37.3,82.1,.454,6.0,16.5,.366,31.3,65.6,.477,18.3,24.8,.736,13.3,28.8,42.1,22.8,7.9,4.0,15.1,22.3,99.0
Houston Rockets*,38.8,84.3,.460,5.9,16.4,.359,32.9,67.9,.484,17.4,24.5,.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7
Sacramento Kings*,36.4,78.8,.462,5.6,14.8,.379,30.8,64.0,.482,23.8,31.7,.751,12.9,28.2,41.1,22.0,9.4,6.2,16.5,24.5,102.3
Phoenix Suns*,39.2,83.4,.471,6.7,18.2,.369,32.5,65.2,.499,18.8,25.4,.739,12.2,29.0,41.3,25.5,7.1,5.1,14.5,24.5,104.0


