Source.Name,Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
1991,Detroit Pistons*,37.2,82.2,0.453,1.9,6.1,0.312,35.3,76.1,0.464,20.4,26.5,0.77,12.2,27.7,40,21.2,7.1,3.5,13.7,24.2,96.8
1991,Los Angeles Lakers*,40.9,88.6,0.462,2.2,7,0.311,38.7,81.6,0.475,15.6,20.7,0.752,13.8,26.7,40.5,24.4,8.1,4.1,14.3,22.2,99.6
1991,Utah Jazz*,39.2,85.5,0.459,2.5,8.1,0.307,36.7,77.4,0.475,19.7,25.5,0.773,13.4,27.8,41.2,22.7,8.4,5,15.3,24.3,100.7
1991,Chicago Bulls*,39.8,84,0.475,2.3,7.6,0.304,37.5,76.3,0.492,19,24.6,0.77,13,26.4,39.3,24.6,7.7,4.2,17.1,22.3,101
1991,San Antonio Spurs*,39.8,88.9,0.448,2.7,8.6,0.31,37.2,80.3,0.463,20.3,26.7,0.761,13.7,27.7,41.4,23.5,9.8,5.3,15.4,24.5,102.6
1991,Houston Rockets*,40.7,89.2,0.456,2.2,7.6,0.295,38.5,81.6,0.471,19.6,25.4,0.771,15.1,29.6,44.8,24,8.7,4.4,17.3,21.8,103.2
1991,New York Knicks*,41.6,87.3,0.476,2.2,6.6,0.336,39.4,80.7,0.488,17.9,23.2,0.773,13.6,28.5,42.1,24.4,8.8,4.5,15.1,22.1,103.3
1991,Milwaukee Bucks*,40.1,82.6,0.486,2.3,7,0.329,37.8,75.6,0.5,21.4,28.2,0.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104
1991,Seattle SuperSonics*,40.1,82.2,0.488,2.5,7.7,0.327,37.5,74.5,0.504,22.8,30,0.759,13.5,26.2,39.7,22.6,8.9,5.4,18.1,22.2,105.4
1991,Philadelphia 76ers*,43.1,90.6,0.476,2.4,8,0.297,40.7,82.6,0.493,16.9,21.9,0.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6
1991,Boston Celtics*,41.7,92.2,0.452,2.3,7.5,0.313,39.4,84.7,0.465,20,25.4,0.786,14.5,26.9,41.4,25,9,4.6,13.7,20.2,105.7
1991,Portland Trail Blazers*,40.5,88.7,0.456,2.9,8.9,0.323,37.6,79.8,0.471,22.2,28.5,0.777,13.2,28.7,41.9,25,7.7,4.3,17,25.3,106
1991,Phoenix Suns*,42.2,91.5,0.462,2.2,7.1,0.312,40,84.3,0.474,20.8,27.4,0.76,14.6,28,42.6,24,8.3,5.6,15.6,25.1,107.5
1991,Atlanta Hawks*,43.5,88,0.494,2.6,7.6,0.349,40.9,80.5,0.508,19.4,25.2,0.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109
1991,Indiana Pacers*,43.6,89,0.49,2.3,7.4,0.305,41.4,81.6,0.507,22.6,30.4,0.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1
1991,Golden State Warriors*,43.2,89.6,0.482,2.7,8.4,0.322,40.5,81.3,0.499,25.9,34.1,0.758,15.8,30.2,46,26.4,8.9,5.3,18.7,26.9,115
1993,New York Knicks*,34.4,80.7,0.426,2.8,9.2,0.305,31.6,71.6,0.442,23.8,31.5,0.755,12.6,28.4,40.9,20.2,8,4.7,16.6,24.5,95.4
1993,Chicago Bulls*,38.3,80.8,0.474,3,8.4,0.361,35.3,72.4,0.487,19.3,24.8,0.779,12.7,27.6,40.3,23.4,7.3,4.4,16.7,21.1,98.9
1993,Houston Rockets*,39.7,86.9,0.457,3,8.9,0.332,36.7,78,0.471,17.5,22.9,0.763,14.2,28,42.2,24,8.7,4,15,21.9,99.8
1993,Cleveland Cavaliers*,41.1,88.2,0.466,2.8,8.5,0.329,38.3,79.7,0.481,16.3,21.2,0.766,13.6,29,42.6,25.7,7.4,4.5,14.7,22.3,101.3
1993,Seattle SuperSonics*,38.3,81.8,0.469,3.3,9.9,0.337,35,71.9,0.487,21.3,28,0.759,13.1,27.1,40.2,22.4,8,5,18.5,22.6,101.3
1993,New Jersey Nets*,39.4,84.7,0.465,2.5,7.5,0.325,37,77.2,0.479,20.3,27.4,0.741,13.4,28.6,42,21.8,9.5,5.1,15.9,22.9,101.6
1993,Boston Celtics*,39.4,85.1,0.463,2.6,7.9,0.332,36.8,77.2,0.476,21.3,27.7,0.771,13.3,29,42.3,24,7.8,4.7,14.4,20.4,102.8
1993,San Antonio Spurs*,40.1,87.5,0.458,3.3,9.1,0.361,36.8,78.4,0.47,19.3,25,0.772,13.2,29.1,42.3,23.2,8,4.5,13.8,24.4,102.8
1993,Utah Jazz*,39.7,85,0.467,3.3,10.2,0.325,36.4,74.8,0.487,21.3,28.6,0.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24,104
1993,Portland Trail Blazers*,40.7,86.9,0.468,3.4,9.9,0.342,37.3,77,0.485,20.6,27.1,0.76,12.5,30.8,43.3,25.1,7.9,5.5,17.1,25.5,105.4
1993,Los Angeles Lakers*,41.9,86.8,0.483,3,8.9,0.337,38.9,77.9,0.5,18.6,25,0.746,14.1,29.4,43.5,26,8.4,4.7,16.3,22.8,105.5
1993,Indiana Pacers*,39.8,84.8,0.469,2.6,8.6,0.306,37.1,76.2,0.487,23.9,32.1,0.743,14.5,28.6,43.1,24.2,8.5,4.7,14.4,24.1,106.1
1993,Phoenix Suns*,42.7,89.1,0.479,3,9.1,0.333,39.6,80,0.496,18.3,25.3,0.723,13.6,28.2,41.9,25.7,8.6,6.2,16.2,24.9,106.7
1993,Los Angeles Clippers*,40.4,86,0.47,3.4,9.6,0.348,37,76.4,0.485,22.6,29.7,0.763,14.4,29.7,44.1,24,9.3,5.5,17.6,21.6,106.8
1993,Atlanta Hawks*,42.8,86.3,0.496,3.4,10.2,0.337,39.4,76.1,0.517,19.3,25.5,0.758,13.2,29.4,42.6,26.7,9,4.4,16.6,22.9,108.4
1993,Charlotte Hornets*,44.3,93.9,0.472,2.9,9.2,0.311,41.5,84.7,0.49,18.9,25.4,0.744,16.5,29.3,45.8,27.8,7.3,5.3,15.2,23.5,110.4
1995,Cleveland Cavaliers*,34.2,74.2,0.461,4.8,13.5,0.357,29.4,60.7,0.484,16.6,22,0.757,10.4,27.4,37.8,22.1,6.8,5.3,14.8,21.6,89.8
1995,New York Knicks*,34.1,78.2,0.437,4.8,14.2,0.341,29.3,64,0.458,22,29.9,0.736,12.5,28.3,40.7,19.3,7.8,4,15.4,23.3,95.1
1995,Atlanta Hawks*,36.6,79.1,0.463,5.1,14.8,0.347,31.5,64.3,0.489,17,23.4,0.726,12.8,29.2,42,21.1,7.4,3.9,16.6,22.1,95.3
1995,Indiana Pacers*,35.6,78.1,0.456,5.8,15.9,0.364,29.8,62.2,0.479,18.5,25.5,0.726,12.8,26.3,39.1,22,8.4,5.1,16.7,25.1,95.5
1995,Chicago Bulls*,35.6,78,0.457,4.9,14,0.349,30.8,64,0.48,20.5,27.8,0.738,13,27.5,40.5,20.9,8.4,4.5,18.1,23.1,96.7
1995,Charlotte Hornets*,37.7,83,0.454,5.2,15.7,0.333,32.4,67.3,0.482,16.8,22.7,0.74,13.4,28.8,42.3,23.1,6.5,4.5,14.8,22.7,97.3
1995,Utah Jazz*,34.7,76.6,0.453,6.7,17.5,0.382,28,59.2,0.474,22.4,30.2,0.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25,98.4
1995,Portland Trail Blazers*,36,78.8,0.456,5.4,14.5,0.372,30.6,64.3,0.476,21.9,29,0.754,10.8,28,38.8,21.8,7.8,4.9,15.9,23.6,99.2
1995,Denver Nuggets*,37.2,81.6,0.456,5.1,14.7,0.347,32.1,66.9,0.479,21,28,0.75,12.5,26.9,39.4,21.8,7.8,5.6,14.2,23.9,100.5
1995,San Antonio Spurs*,38.6,85,0.454,5.2,15.3,0.341,33.4,69.8,0.479,18.2,25.5,0.714,12.4,28.1,40.5,22.9,7.7,5,14.4,25.2,100.6
1995,Houston Rockets*,39,86.1,0.453,6.2,16.4,0.376,32.9,69.7,0.472,17.2,22.9,0.751,14.2,29.1,43.3,23.7,9.1,4.5,15.5,21.7,101.4
1995,Seattle SuperSonics*,36.7,80.9,0.453,6.3,18.5,0.343,30.3,62.5,0.486,22.5,30.7,0.735,13,26.9,39.9,22.5,8,6,18.1,24.7,102.2
1995,Orlando Magic*,39.5,86.5,0.457,5.7,15.1,0.378,33.8,71.4,0.474,19,25.7,0.741,13.9,27.1,41,24.2,8.5,4.5,15,23.8,103.8
1995,Boston Celtics*,40.3,83.2,0.484,4.6,12.8,0.358,35.7,70.4,0.507,19.5,27.1,0.72,13,28.5,41.5,24.4,8,5.5,15,23.4,104.7
1995,Los Angeles Lakers*,40.2,86,0.468,5.6,15.8,0.352,34.7,70.2,0.494,19.3,27.2,0.708,15.6,30.2,45.8,26.9,7.9,6,17,22,105.3
1995,Phoenix Suns*,40.5,84.9,0.477,6.4,18.8,0.34,34.1,66.1,0.516,19.4,26.1,0.744,12.7,29.6,42.3,26.2,8,4.8,15.7,24.7,106.8
1996,Cleveland Cavaliers*,32.6,70.6,0.462,6.3,16.1,0.388,26.4,54.5,0.484,17.1,22.5,0.759,10.7,26.4,37.1,22.2,6.1,4.1,15.6,20.3,88.5
1996,Chicago Bulls*,35.1,78.4,0.448,5.3,15.2,0.35,29.8,63.2,0.472,17.4,24.2,0.717,12,26,38,19.4,7.3,3.8,17.1,22.6,92.9
1996,Detroit Pistons*,34.5,77.7,0.443,6.2,16.8,0.366,28.3,60.9,0.465,17.8,24.9,0.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23,92.9
1996,New York Knicks*,34.9,78.9,0.442,5.4,16,0.337,29.5,62.9,0.468,19.8,26.7,0.74,12.1,29.6,41.7,20.4,8,3.4,15.8,21.5,94.9
1996,Miami Heat*,33.3,76.9,0.434,5.4,15.1,0.361,27.9,61.8,0.452,22.9,30.5,0.752,12,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95
1996,Utah Jazz*,33.5,75.3,0.445,6.7,17.4,0.385,26.8,57.9,0.463,22.2,29.5,0.751,11.4,26.2,37.6,20,7.1,5,15.7,24.2,95.9
1996,Indiana Pacers*,34.6,76.7,0.452,6,16.7,0.36,28.6,60,0.477,20.8,28.1,0.74,12.2,25,37.3,21,8.1,5.1,15.4,24.9,96.1
1996,Seattle SuperSonics*,35,79.9,0.438,6.5,18.7,0.348,28.5,61.2,0.466,20.2,28.2,0.716,13.1,27.5,40.6,21.7,9.2,4.8,18.5,24.5,96.7
1996,Portland Trail Blazers*,36,81.4,0.442,5.8,16.5,0.348,30.3,64.9,0.466,19.2,25.9,0.74,11.4,28.2,39.6,22.2,8.6,5,14.5,24.3,97
1996,Atlanta Hawks*,37.1,78.3,0.474,5.8,16.2,0.36,31.3,62.1,0.504,17,22.7,0.746,12.9,28,40.8,22.5,7.1,4.1,17.1,22,97.1
1996,San Antonio Spurs*,36.8,83.7,0.439,5.4,16.3,0.33,31.4,67.4,0.466,18.1,24.8,0.73,13.5,30.2,43.7,22.5,7.4,5.2,15.3,24,97.1
1996,Los Angeles Lakers*,38,83,0.458,5.4,14.7,0.367,32.6,68.3,0.478,17,23.1,0.738,14,28.2,42.2,24.5,7.2,5.9,16.3,22,98.5
1996,Orlando Magic*,37.3,82.1,0.454,6,16.5,0.366,31.3,65.6,0.477,18.3,24.8,0.736,13.3,28.8,42.1,22.8,7.9,4,15.1,22.3,99
1996,Houston Rockets*,38.8,84.3,0.46,5.9,16.4,0.359,32.9,67.9,0.484,17.4,24.5,0.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7
