Season,Team,outcome
1991,Golden State Warriors*,2
1991,Portland Trail Blazers*,3
1991,Phoenix Suns*,1
1991,Indiana Pacers*,1
1991,Boston Celtics*,2
1991,Chicago Bulls*,5
1991,Atlanta Hawks*,1
1991,San Antonio Spurs*,1
1991,Houston Rockets*,1
1991,Seattle SuperSonics*,1
1991,Milwaukee Bucks*,1
1991,Los Angeles Lakers*,4
1991,Philadelphia 76ers*,2
1991,Utah Jazz*,2
1991,New York Knicks*,1
1991,Detroit Pistons*,3
1993,Phoenix Suns*,4
1993,Charlotte Hornets*,2
1993,Portland Trail Blazers*,1
1993,Seattle SuperSonics*,3
1993,Indiana Pacers*,1
1993,Cleveland Cavaliers*,2
1993,Atlanta Hawks*,1
1993,Los Angeles Clippers*,1
1993,Utah Jazz*,1
1993,San Antonio Spurs*,2
1993,Chicago Bulls*,5
1993,Los Angeles Lakers*,1
1993,Houston Rockets*,2
1993,Boston Celtics*,1
1993,New Jersey Nets*,1
1993,New York Knicks*,3
1995,Orlando Magic*,4
1995,Phoenix Suns*,2
1995,Seattle SuperSonics*,1
1995,San Antonio Spurs*,3
1995,Utah Jazz*,1
1995,Los Angeles Lakers*,2
1995,Houston Rockets*,5
1995,Portland Trail Blazers*,1
1995,Boston Celtics*,1
1995,Chicago Bulls*,2
1995,Denver Nuggets*,1
1995,Charlotte Hornets*,1
1995,Indiana Pacers*,3
1995,New York Knicks*,2
1995,Atlanta Hawks*,1
1995,Cleveland Cavaliers*,1
1996,Chicago Bulls*,5
1996,Seattle SuperSonics*,4
1996,Orlando Magic*,3
1996,Phoenix Suns*,1
1996,San Antonio Spurs*,2
1996,Los Angeles Lakers*,1
1996,Utah Jazz*,3
1996,Houston Rockets*,2
1996,Sacramento Kings*,1
1996,Indiana Pacers*,1
1996,Portland Trail Blazers*,1
1996,Atlanta Hawks*,2
1996,New York Knicks*,2
1996,Miami Heat*,1
1996,Detroit Pistons*,1
1996,Cleveland Cavaliers*,1
1998,San Antonio Spurs*,2
1998,New York Knicks*,2
1998,Chicago Bulls*,5
1998,Cleveland Cavaliers*,1
1998,Indiana Pacers*,3
1998,Miami Heat*,1
1998,Atlanta Hawks*,1
1998,Portland Trail Blazers*,1
1998,Seattle SuperSonics*,2
1998,Utah Jazz*,4
1998,Phoenix Suns*,1
1998,Charlotte Hornets*,2
1998,Los Angeles Lakers*,3
1998,New Jersey Nets*,1
1998,Houston Rockets*,1
1998,Minnesota Timberwolves*,1
2000,San Antonio Spurs*,1
2000,New York Knicks*,3
2000,Portland Trail Blazers*,3
2000,Miami Heat*,2
2000,Utah Jazz*,2
