Season,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,Golden State Warriors*,43.5,89.6,0.485,3.3,9.8,0.337,40.2,79.8,0.504,26.4,33.7,0.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6
1991,Portland Trail Blazers*,43.6,89.9,0.485,4.2,11,0.377,39.5,78.8,0.501,23.3,31,0.753,14.7,31.2,45.9,27.5,8.8,5,16,24.1,114.7
1991,Phoenix Suns*,43.6,87.8,0.496,1.7,5.3,0.319,41.9,82.5,0.508,25.2,32.7,0.77,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114
1991,Indiana Pacers*,42.1,85.3,0.493,3,9.1,0.332,39,76.2,0.513,24.5,30.2,0.811,12.4,29,41.4,26.6,8,4.4,16.5,25.5,111.7
1991,Boston Celtics*,45.1,88,0.512,1.3,4.2,0.315,43.7,83.8,0.522,20.1,24.4,0.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5
1991,Chicago Bulls*,44.3,86.9,0.51,1.9,5.2,0.366,42.4,81.7,0.519,19.6,25.7,0.76,14,28.6,42.6,27,10,5.3,14.4,21.4,110
1991,Atlanta Hawks*,40.8,88.1,0.464,3.3,10.2,0.324,37.5,77.9,0.482,24.8,31,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15,21.6,109.8
1991,San Antonio Spurs*,41.6,85.2,0.488,1,3.6,0.273,40.6,81.6,0.497,23,30,0.766,13.8,32.4,46.2,26.1,8.2,7,17.6,23.1,107.1
1991,Houston Rockets*,41.5,88.9,0.467,3.9,12.1,0.32,37.6,76.8,0.49,19.9,26.8,0.741,15.5,30.6,46.1,23.2,9.7,5,17.1,22.9,106.7
1991,Seattle SuperSonics*,42.7,86.8,0.492,1.7,5.2,0.319,41,81.6,0.503,19.6,26.1,0.75,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6
1991,Milwaukee Bucks*,40.7,84.7,0.48,3.1,9.2,0.341,37.6,75.5,0.497,21.9,27.3,0.801,13.2,26.4,39.5,25.3,10.9,4,16.1,24.8,106.4
1991,Los Angeles Lakers*,40.8,84.3,0.484,2.8,9.1,0.304,38,75.2,0.505,22,27.6,0.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3
1991,Philadelphia 76ers*,40.1,84.5,0.475,2.4,7.5,0.316,37.7,76.9,0.491,22.8,28.9,0.79,12,30.4,42.4,22.2,8.3,5.8,15,19.9,105.4
1991,Utah Jazz*,39.2,79.7,0.492,1.8,5.6,0.323,37.4,74.1,0.504,23.8,30.1,0.789,10.6,30.2,40.7,27,8,5.5,15.9,21.9,104
1991,New York Knicks*,40.3,83.2,0.485,2.3,6.8,0.332,38.1,76.4,0.499,20.2,26.2,0.77,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1
1991,Detroit Pistons*,39,83.8,0.465,1.6,5.4,0.298,37.4,78.5,0.476,20.6,27,0.763,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1
1993,Phoenix Suns*,42.6,86.5,0.493,4.9,13.4,0.363,37.8,73.1,0.516,23.3,31,0.753,13.9,30.6,44.5,25.5,9.2,5.5,16.6,21.2,113.4
1993,Charlotte Hornets*,42.8,87.9,0.487,2.1,6.5,0.326,40.7,81.4,0.5,22.3,29,0.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1
1993,Portland Trail Blazers*,41,89.5,0.458,3.4,10.3,0.326,37.6,79.3,0.475,23.2,31.1,0.745,15,30.6,45.5,24,9.4,5.2,14.8,23.1,108.5
1993,Seattle SuperSonics*,42.4,87.1,0.486,2.7,7.4,0.357,39.7,79.6,0.498,21,27.5,0.761,14.9,27.5,42.4,23.2,11.5,5,15.5,24,108.3
1993,Indiana Pacers*,41.1,85.6,0.48,3.1,9.6,0.326,38,76,0.5,22.4,29.3,0.766,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8
1993,Cleveland Cavaliers*,41.8,84,0.497,3.5,9,0.381,38.3,74.9,0.511,20.7,25.8,0.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7
1993,Atlanta Hawks*,41.4,88.7,0.466,4.7,13.1,0.355,36.7,75.6,0.486,20.1,27.1,0.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22,107.5
1993,Los Angeles Clippers*,43.2,89.4,0.484,1.6,6,0.271,41.6,83.4,0.499,19,26.5,0.718,14.4,28.8,43.2,27.3,10.3,6,16.3,23.4,107.1
1993,Utah Jazz*,40.7,83.3,0.489,1.6,5,0.314,39.1,78.2,0.5,23.3,30.4,0.766,12.7,30,42.7,26.5,9.1,4.2,15.5,24,106.2
1993,San Antonio Spurs*,40.4,82.5,0.49,2.9,8.4,0.341,37.5,74,0.507,21.9,28.6,0.765,11.2,31,42.2,24.5,7.1,6.3,15,22.5,105.5
1993,Chicago Bulls*,42.4,87.9,0.482,3,8.2,0.365,39.4,79.7,0.494,17.5,23.8,0.733,15.7,27.8,43.6,26,9.5,5,13.5,22,105.2
1993,Los Angeles Lakers*,40.4,85.3,0.473,2.3,7.6,0.299,38.1,77.7,0.49,21.2,28.1,0.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2
1993,Houston Rockets*,40,82.2,0.486,4.7,13.1,0.361,35.3,69.2,0.51,19.3,25.5,0.758,12,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104
1993,Boston Celtics*,42.1,86.5,0.487,1.3,4.7,0.287,40.8,81.8,0.498,18.1,23.3,0.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7
1993,New Jersey Nets*,39.9,86.4,0.462,1.9,6,0.318,38,80.4,0.473,21.1,27.5,0.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
1993,New York Knicks*,39.1,84.1,0.465,2.4,7.4,0.32,36.8,76.8,0.479,20.9,28.2,0.741,14,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6
1995,Orlando Magic*,42.2,84.1,0.502,6.4,17.2,0.37,35.8,66.9,0.535,20.1,30.1,0.669,14,30,44,27.8,8.2,6,15.8,21,110.9
1995,Phoenix Suns*,40.9,85,0.482,7.1,19.3,0.369,33.8,65.6,0.515,21.7,28.7,0.756,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4,110.6
1995,Seattle SuperSonics*,40.4,82.2,0.491,6,15.9,0.376,34.4,66.3,0.519,23.7,31.3,0.758,13,28.5,41.5,25.8,11.2,4.8,15.8,25.2,110.4
1995,San Antonio Spurs*,39.5,81.5,0.484,5.3,14.1,0.375,34.2,67.4,0.507,22.4,30.3,0.738,12.5,32.5,45,23.4,8,5.6,15.2,22.8,106.6
1995,Utah Jazz*,39.5,77.3,0.512,3.7,9.8,0.376,35.9,67.5,0.531,23.6,30.3,0.781,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9,106.4
1995,Los Angeles Lakers*,40,86.4,0.463,6.4,18.2,0.352,33.6,68.2,0.493,18.6,25.3,0.735,13.7,28.2,42,25.3,9.1,6.9,15.2,23.6,105.1
1995,Houston Rockets*,38.5,80.2,0.48,7.9,21.4,0.368,30.6,58.8,0.521,18.6,24.9,0.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5
1995,Portland Trail Blazers*,39.2,87,0.451,5.6,15.4,0.365,33.6,71.6,0.469,19,27.2,0.697,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7,103.1
1995,Boston Celtics*,38.8,83.5,0.464,4.4,12,0.368,34.4,71.5,0.48,20.8,27.7,0.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8
1995,Chicago Bulls*,38.9,81.8,0.476,5.4,14.5,0.373,33.5,67.4,0.498,18.3,25.2,0.726,13.5,28,41.5,24,9.7,4.3,15.8,23.9,101.5
1995,Denver Nuggets*,37.8,78.8,0.479,5,14.1,0.356,32.7,64.6,0.507,20.7,28.1,0.738,12.7,29.3,42,22.4,8,7.1,16.8,25.2,101.3
1995,Charlotte Hornets*,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6
1995,Indiana Pacers*,36.4,76.2,0.477,4.6,12,0.38,31.8,64.2,0.496,21.9,29.1,0.751,12.8,27.9,40.7,22.9,8.6,4.4,16.3,23.6,99.2
1995,New York Knicks*,36.4,78,0.467,6.5,17.6,0.368,29.9,60.3,0.496,18.9,25.8,0.734,11.3,30.2,41.5,25.1,7.2,4.7,15.9,25.6,98.2
1995,Atlanta Hawks*,36.4,81.5,0.447,6.6,19.3,0.341,29.8,62.2,0.48,17.2,23.8,0.724,13.5,27.7,41.2,21.4,9,5,14.9,22,96.6
1995,Cleveland Cavaliers*,33.6,76.3,0.441,4.9,12.6,0.385,28.8,63.7,0.452,18.4,24.2,0.76,12.7,27.3,40,20.4,7.7,4.3,14.3,20.7,90.5
1996,Chicago Bulls*,40.2,84,0.478,6.6,16.5,0.403,33.5,67.6,0.496,18.2,24.4,0.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22,105.2
1996,Seattle SuperSonics*,37.5,78.1,0.48,7.1,19.5,0.364,30.4,58.6,0.519,22.5,29.6,0.76,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24,104.5
1996,Orlando Magic*,39.1,81,0.482,7.6,20.1,0.378,31.5,60.9,0.517,18.8,27.2,0.691,11.8,29.3,41.1,25.4,8.1,5,14.1,20.8,104.5
1996,Phoenix Suns*,38.5,81.4,0.473,4,12,0.332,34.5,69.4,0.498,23.3,30.1,0.771,12.3,30.5,42.8,24.4,7.6,4,14.7,21.7,104.3
