Team,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%,Opp_TOV%,DRB%,Opp_FT/FGA
Los Angeles Lakers*,29.2,67,8.55,-0.14,8.41,107.3,98.2,+9.1,93.3,.346,.153,.525,.484,12.7,30.6,.241,.443,13.4,73.1,.222
Portland Trail Blazers*,29.6,59,6.40,-0.04,6.36,107.9,100.8,+7.1,89.9,.316,.175,.546,.501,14.5,30.3,.240,.461,13.8,72.4,.217
San Antonio Spurs*,30.9,53,5.94,-0.02,5.92,105.0,98.6,+6.4,90.8,.346,.138,.535,.488,14.3,27.8,.258,.451,13.5,73.0,.188
Phoenix Suns*,28.6,53,5.22,0.02,5.24,104.6,99.0,+5.6,94.0,.286,.184,.532,.491,15.2,29.3,.217,.454,15.7,70.5,.245
Utah Jazz*,31.5,55,4.46,0.05,4.52,107.3,102.3,+5.0,89.6,.337,.134,.540,.490,14.3,29.5,.260,.477,15.0,73.2,.256
Indiana Pacers*,30.4,56,4.60,-0.45,4.15,108.5,103.6,+4.9,93.1,.302,.224,.552,.503,13.3,24.9,.245,.469,12.6,71.5,.197
Miami Heat*,29.2,52,3.11,-0.36,2.75,104.5,101.0,+3.5,89.7,.283,.186,.533,.495,14.5,28.2,.208,.453,13.3,72.9,.229
Sacramento Kings*,27.5,44,2.91,0.12,3.04,105.0,102.1,+2.9,99.3,.277,.227,.526,.486,13.9,27.7,.209,.479,15.1,69.7,.198
Charlotte Hornets*,28.7,49,2.67,-0.34,2.33,104.3,101.4,+2.9,93.9,.376,.153,.530,.475,13.7,25.7,.285,.478,14.6,73.2,.198
Minnesota Timberwolves*,26.6,50,2.52,0.14,2.67,106.1,103.4,+2.7,91.8,.256,.104,.525,.485,12.9,29.4,.200,.474,14.0,73.0,.250
New York Knicks*,29.5,50,1.46,-0.16,1.30,102.5,100.9,+1.6,89.2,.283,.147,.527,.482,14.4,24.7,.221,.455,13.6,73.1,.251
Detroit Pistons*,28.3,42,1.44,-0.31,1.13,107.3,105.8,+1.5,95.7,.378,.184,.548,.492,14.3,26.8,.295,.499,15.4,71.6,.249
Philadelphia 76ers*,27.1,49,1.34,-0.32,1.02,101.5,100.0,+1.5,92.7,.329,.095,.501,.457,14.2,31.4,.233,.466,16.2,69.9,.229
Seattle SuperSonics*,28.5,45,0.95,0.22,1.17,105.6,104.6,+1.0,93.4,.282,.232,.520,.487,12.9,28.5,.196,.483,14.0,69.6,.193
Milwaukee Bucks*,28.2,42,0.22,-0.28,-0.06,108.2,107.9,+0.3,92.7,.290,.157,.539,.494,13.8,30.0,.228,.496,14.6,69.6,.254
Toronto Raptors*,29.3,45,-0.16,-0.30,-0.46,104.7,104.9,-0.2,92.5,.300,.170,.511,.464,12.7,30.1,.230,.480,14.2,71.8,.247

