Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dallas Mavericks*,40.5,88.2,.459,6.2,17.8,.348,34.3,70.4,.488,18.0,22.6,.796,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,105.2
Sacramento Kings*,37.8,81.8,.462,7.3,18.3,.401,30.5,63.6,.480,19.8,24.9,.795,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,102.8
Los Angeles Lakers*,36.9,81.4,.454,4.5,13.6,.327,32.5,67.8,.479,19.9,28.7,.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2
Milwaukee Bucks*,36.2,81.1,.447,4.9,14.0,.350,31.3,67.1,.467,20.7,26.7,.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98.0
Denver Nuggets*,36.5,82.5,.443,4.0,12.0,.336,32.5,70.5,.461,20.2,26.3,.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,97.2
Memphis Grizzlies*,36.1,81.2,.445,5.5,16.0,.340,30.7,65.2,.471,19.0,26.1,.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7
Boston Celtics*,34.7,78.2,.443,6.7,19.5,.346,27.9,58.7,.475,19.2,25.5,.750,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3
Minnesota Timberwolves*,37.0,80.1,.462,4.0,10.9,.363,33.0,69.2,.477,16.6,21.3,.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5
New York Knicks*,35.1,79.4,.442,5.0,13.6,.364,30.2,65.8,.459,16.8,21.1,.793,11.6,31.0,42.6,20.7,7.4,4.8,15.7,23.1,92.0
New Orleans Hornets*,33.8,80.5,.420,6.5,20.3,.319,27.3,60.2,.454,17.7,23.6,.751,13.3,29.5,42.8,20.9,8.6,4.2,15.0,20.9,91.8
San Antonio Spurs*,34.7,78.5,.442,5.0,13.9,.358,29.7,64.6,.460,17.2,25.2,.681,12.5,32.5,45.1,20.4,8.1,6.5,14.7,20.3,91.5
Indiana Pacers*,33.6,77.1,.435,5.5,15.6,.351,28.1,61.5,.457,18.8,24.6,.764,11.8,29.9,41.7,21.6,8.9,5.0,14.4,20.8,91.4
New Jersey Nets*,34.3,77.7,.441,4.6,13.7,.336,29.7,64.0,.464,17.0,22.6,.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,90.3
Miami Heat*,33.3,78.3,.425,5.9,16.5,.357,27.4,61.7,.443,17.8,23.4,.762,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,90.3
Detroit Pistons*,33.5,77.0,.435,4.1,11.8,.344,29.4,65.2,.452,19.0,25.3,.753,12.4,30.4,42.8,20.8,8.0,7.0,15.1,20.3,90.1
Houston Rockets*,33.4,75.5,.442,6.3,17.1,.366,27.1,58.4,.464,16.7,21.6,.773,10.3,32.3,42.6,19.3,6.8,5.4,16.7,21.5,89.8
