Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
San Antonio Spurs*,31.9,77.9,.409,3.8,11.6,.327,28.1,66.3,.423,16.7,22.5,.744,11.1,30.0,41.1,17.3,7.7,4.6,15.3,22.4,84.3
Detroit Pistons*,32.1,77.8,.413,4.3,14.4,.302,27.8,63.4,.438,15.7,21.1,.744,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3
Indiana Pacers*,32.6,75.4,.432,4.0,12.4,.324,28.6,63.0,.453,16.5,22.0,.750,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6
New Jersey Nets*,32.8,76.9,.427,5.1,14.5,.350,27.7,62.3,.445,17.0,22.3,.761,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8
Houston Rockets*,32.1,78.1,.412,5.6,15.0,.372,26.6,63.1,.421,18.2,24.7,.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0
Minnesota Timberwolves*,33.4,80.8,.414,4.8,14.4,.334,28.6,66.4,.431,17.4,23.1,.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1
Miami Heat*,32.4,75.7,.428,5.3,15.3,.343,27.2,60.4,.450,19.7,25.6,.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7
New Orleans Hornets*,34.7,78.6,.441,5.4,15.9,.341,29.3,62.7,.467,17.2,22.9,.750,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9
New York Knicks*,34.0,79.2,.429,5.1,15.0,.338,28.9,64.2,.450,20.5,26.8,.763,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5
Los Angeles Lakers*,35.6,81.0,.440,5.1,15.2,.337,30.5,65.8,.464,18.0,24.0,.749,11.2,31.2,42.4,20.8,7.5,3.8,15.3,24.7,94.3
Memphis Grizzlies*,34.9,79.9,.436,4.5,13.3,.338,30.4,66.6,.456,20.0,26.2,.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3
Denver Nuggets*,36.8,81.2,.453,4.6,12.9,.356,32.2,68.4,.471,17.9,24.6,.728,12.9,30.1,42.9,23.5,8.1,5.8,17.1,23.1,96.1
Boston Celtics*,35.3,80.8,.437,6.8,18.7,.362,28.5,62.1,.459,19.4,26.3,.736,13.0,30.8,43.8,23.0,8.8,5.0,17.1,22.2,96.7
Milwaukee Bucks*,37.0,81.9,.452,5.6,15.8,.352,31.4,66.1,.475,17.4,23.6,.739,12.0,30.7,42.7,22.8,7.5,5.0,14.2,22.9,97.0
Sacramento Kings*,38.3,84.4,.454,5.0,14.7,.339,33.3,69.7,.478,16.3,21.7,.749,13.2,30.7,43.9,21.3,7.9,5.0,14.9,22.2,97.8
Dallas Mavericks*,38.2,83.2,.459,6.5,17.9,.363,31.7,65.3,.486,17.8,23.9,.746,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8



