Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,48,3.61,3.49,105.1,101.4,+3.7,.516,.480
Boston Celtics*,48,3.21,2.84,106.8,103.6,+3.2,.488,.487
Brooklyn Nets,21,-7.35,-7.12,103.2,110.9,-7.7,.492,.534
Charlotte Hornets*,48,2.72,2.36,107.1,104.3,+2.8,.502,.496
Chicago Bulls,42,-1.48,-1.46,105.0,106.5,-1.5,.487,.485
Cleveland Cavaliers*,57,6.00,5.45,110.9,104.5,+6.4,.524,.496
Dallas Mavericks*,42,-0.30,-0.02,106.7,107.0,-0.3,.502,.504
Denver Nuggets,33,-3.10,-2.81,105.6,108.9,-3.3,.489,.515
Detroit Pistons*,44,0.61,0.43,106.1,105.5,+0.6,.491,.504
Golden State Warriors*,73,10.76,10.38,114.5,103.8,+10.7,.563,.479
Houston Rockets*,41,0.20,0.34,108.3,108.1,+0.2,.516,.516
Indiana Pacers*,45,1.71,1.62,104.6,102.9,+1.7,.497,.489
Los Angeles Clippers*,53,4.28,4.13,108.3,103.8,+4.5,.524,.480
Los Angeles Lakers,17,-9.56,-8.92,101.6,111.6,-10.0,.460,.523
Memphis Grizzlies*,42,-2.24,-2.14,105.4,107.8,-2.4,.477,.518
Miami Heat*,48,1.65,1.50,106.1,104.4,+1.7,.508,.485
Milwaukee Bucks,33,-4.18,-3.98,104.3,108.7,-4.4,.499,.510
Minnesota Timberwolves,29,-3.54,-3.38,106.5,110.1,-3.6,.498,.524
New Orleans Pelicans,30,-3.79,-3.56,105.6,109.5,-3.9,.498,.523
New York Knicks,32,-2.73,-2.74,104.6,107.6,-3.0,.483,.487
Oklahoma City Thunder*,55,7.28,7.09,113.1,105.6,+7.5,.524,.484
Orlando Magic,35,-1.62,-1.68,105.1,106.8,-1.7,.500,.513
Philadelphia 76ers,10,-10.23,-9.92,98.8,109.2,-10.4,.487,.510
Phoenix Suns,23,-6.66,-6.32,102.2,109.0,-6.8,.487,.523
Portland Trail Blazers*,44,0.83,0.98,108.8,108.0,+0.8,.511,.503
Sacramento Kings,33,-2.48,-2.32,106.0,108.4,-2.4,.510,.521
San Antonio Spurs*,67,10.63,10.28,110.3,99.0,+11.3,.526,.477
Toronto Raptors*,56,4.50,4.08,110.0,105.2,+4.8,.504,.498
Utah Jazz,40,1.79,1.84,105.9,103.9,+2.0,.501,.495
Washington Wizards,41,-0.50,-0.50,105.3,105.8,-0.5,.511,.515
