Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2023,Atlanta Hawks,41,16,0.29,14,0.32,13,116.6,6,116.3,15,0.3,14,0.541,12,0.552,3,1
2023,Boston Celtics,57,2,6.52,1,6.38,1,118,2,111.5,3,6.5,1,0.566,4,0.528,14,3
2023,Brooklyn Nets,45,9,0.85,11,1.03,11,115,12,114.1,10,0.9,11,0.562,6,0.53,13,1
2023,Cleveland Cavaliers,51,5,5.38,2,5.23,2,116.1,7,110.6,1,5.5,2,0.556,8,0.535,10,1
2023,Denver Nuggets,53,4,3.33,6,3.04,6,117.6,5,114.2,11,3.4,6,0.573,1,0.543,4,5
2023,Golden State Warriors,44,11,1.8,10,1.66,10,116.1,7,114.4,12,1.7,10,0.571,3,0.54,7,2
2023,Los Angeles Clippers,44,11,0.5,13,0.31,14,115,12,114.5,13,0.5,13,0.551,10,0.543,4,1
2023,Los Angeles Lakers,43,14,0.57,12,0.43,12,114.5,14,113.9,9,0.6,12,0.542,11,0.535,10,3
2023,Memphis Grizzlies,51,5,3.94,4,3.6,5,115.1,10,111.2,2,3.9,4,0.54,14,0.526,15,1
2023,Miami Heat,44,11,-0.32,16,-0.13,15,113,16,113.3,6,-0.3,16,0.53,16,0.561,2,4
2023,Milwaukee Bucks,58,1,3.63,5,3.61,4,115.4,9,111.9,4,3.5,5,0.555,9,0.52,16,1
2023,Minnesota Timberwolves,42,15,-0.04,15,-0.22,16,113.7,15,113.8,8,-0.1,15,0.56,7,0.54,7,1
2023,New York Knicks,47,8,2.93,7,2.99,7,117.8,3,114.8,14,3,7,0.541,12,0.536,9,2
2023,Philadelphia 76ers,54,3,4.32,3,4.37,3,117.7,4,113.3,6,4.4,3,0.563,5,0.541,6,2
2023,Phoenix Suns,45,9,2.07,9,2.08,9,115.1,10,113,5,2.1,9,0.535,15,0.532,12,2
2023,Sacramento Kings,48,7,2.65,8,2.3,8,119.4,1,116.8,16,2.6,8,0.572,2,0.563,1,1
